  21 2021 03 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 REDR    79     0     27   18.1    1.2    1.2   145    7.2    0.1    1.4    0.00   987.22   140   18.2    0.6   14.9   16.2   15.2   12.1   11.5    1.49    1.43    1.40
 RING    81     0     35   19.6    1.6    1.6   114    3.3    0.1    1.9    0.00   989.13   148   20.2    1.0   17.0   21.1   16.7   14.7   -998    1.83    1.64    -998
 SALL    82     0     28   16.9    1.6    1.5   347   18.3    0.4    2.8    1.27  1004.35   104   17.3    1.1   15.8   17.3   -999   14.6   13.3    1.46    1.33    1.36
 SEIL    83     0     23   19.9    4.5    4.4   178    9.4    0.9    6.6    0.00   956.96   163   19.7    3.4   14.5   18.1   14.3   11.5   10.9    1.51    1.46    1.80
 SEMI   143     0     22   18.8    0.6    0.6    71   12.9    0.4    1.3    0.00   988.17   136   19.2    0.1   13.7   17.5   14.0   12.8   12.2    1.52    1.37    1.39
 SHAW    84     0     26   18.9    0.4    0.3    28   40.7    0.3    0.9    0.00   983.72   139   18.9    0.0   14.9   17.5   14.9   13.4   12.1    1.54    1.46    1.42
 SKIA    85     0     27   17.1    0.5    0.5   345   10.1    0.4    1.1    0.00   988.73   105   17.6    0.0   14.5   17.2   15.6   12.5   11.9    1.48    1.53    1.55
 SLAP    86     0     21   20.5    7.2    7.2   198    6.5    0.9    8.8    0.00   929.78   182   20.2    5.2   18.6   18.3   19.4   12.7   10.4    1.52    1.65    1.72
 SPEN    87     0     23   19.2    1.0    1.0   138    8.8    0.1    1.3    0.00   978.13   126   18.9    0.6   16.4   18.2   17.3   14.8   12.6    1.48    1.55    1.42
 STIG    88     0     34   15.6    3.2    3.2    11    6.0    0.4    4.0    0.00  1002.62   109   16.6    2.1   14.7   18.9   16.1   13.7   12.7    1.48    1.40    1.38
 STIL    89     0     21   18.9    0.3    0.3   207   12.1    0.2    0.7    0.00   989.92   132   19.4    0.0   14.6   19.2   15.2   12.8   12.0    1.42    1.46    1.46
 STUA    90     0     31   17.2    2.7    2.7    58    6.4    0.3    3.3    0.00   992.57   127   18.1    1.8   15.8   18.0   17.1   14.6   13.1    1.67    1.44    1.45
 SULP    91     0     26   18.6    3.1    3.1    90    7.1    0.6    4.2    0.51   985.05   138   18.9    1.9   17.0   20.6   17.9   -998   -998    1.63    -998    -998
 TAHL    92     0     29   15.0    2.0    1.9   336   16.7    0.5    3.6    0.00   988.94   103   15.3    1.3   14.6   16.4   14.9   -998   -998    1.57    -998    -998
 TALA   138     0     39   16.5    2.7    2.6   145    6.4    0.4    3.5    0.00   995.42   113   16.7    2.0   12.5   17.1   12.5   11.2   10.5    1.39    1.40    1.89
 TALI    93     0     27   16.6    2.0    1.9    22   10.5    0.6    3.6    0.00   999.02   107   16.9    0.7   16.7   17.8   17.0   15.1   -998    1.35    1.40    -998
 TIPT    94     0     36   19.3    1.2    1.2   123    7.8    0.1    1.5    0.00   977.19   169   20.0    0.5   14.8   21.4   15.1   13.3   12.9    1.54    1.74    1.67
 TISH    95     0     29   18.7    2.5    2.5    79    6.2    0.4    3.5    3.05   991.07   135   19.1    1.7   17.1   17.7   16.9   15.2   -998    1.46    1.55    -998
 TULN   137     0     25   17.6    0.7    0.5    58   41.5    0.3    1.1    0.00   997.77   114   18.0    0.3   12.3   16.3   13.0   12.0   11.7    1.42    1.34    1.34
 VALL   140     0     29   17.9    2.0    1.9   345   13.1    0.8    3.7    0.00  1008.84   101   19.0    1.4   16.1   18.8   17.2   15.0   14.1    1.49    1.47    1.40
 VINI    97     0     39   14.8    1.4    1.4   116    2.6    0.1    1.7    0.00   994.67    83   15.6    0.8   13.1   15.1   13.1   11.2   10.4    1.47    1.40    1.39
 WAL2   136     0     27   19.6    3.2    3.2   200    4.6    0.3    3.6    0.00   984.64   154   20.2    2.5   13.7   22.8   14.6   13.0   12.5    1.50    1.43    1.43
 WASH    99     0     27   19.0    1.6    1.6   103   12.5    0.3    2.5    0.00   981.95   141   19.2    0.7   15.1   18.4   17.2   14.2   12.9    1.51    1.47    1.36
 WATO   100     0     36   17.7    4.6    4.6   186    6.3    0.5    5.9    0.00   961.33   155   17.9    3.2   15.6   19.2   17.0   12.1   11.0    1.50    1.49    1.44
 WAUR   101     0     22   20.9    1.2    1.2   110    9.4    0.3    1.9    0.00   989.36   149   20.8    0.7   17.7   21.7   17.5   15.4   14.2    1.48    1.50    1.56
 WEAT   102     0     39   17.1    4.0    4.0   173    4.8    0.4    5.0    0.00   958.99   160   17.5    2.6   17.2   17.8   17.8   12.6   -998    1.71    1.78    -998
 WEBR   132     0     42   15.2   -999   -999  -999   -999   -999   -999    0.00  1005.91  -999   16.2   -999   13.9   16.3   14.2   12.9   12.3    1.41    1.43    1.47
 WEST   104     0     33   13.9    2.2    2.2   354    8.0    0.3    2.9    0.00   982.10    99   14.8    1.5   12.9   14.9   13.9   12.7   -998    1.39    1.44    -998
 WILB   105     0     35   16.5    3.1    3.1    32    6.0    0.5    4.0    0.00   999.53   119   17.0    2.2   16.2   16.8   17.8   14.7   13.5    1.44    1.44    1.46
 WIST   106     0     29   16.4    2.9    2.8   302   13.7    0.6    4.4    0.00  1006.24   101   17.1    2.1   13.5   17.8   13.7   12.1   11.6    1.41    1.47    1.40
 WOOD   107     0     21   20.4    5.4    5.4   226    7.3    1.5    8.5    0.00   947.92   172   20.5    3.9   12.8   18.7   13.5   10.9   10.1    1.55    1.62    1.73
 WYNO   108     0     25   17.5    0.2    0.2   229    3.6    0.2    0.6    0.00   990.19   124   18.3    0.0   15.4   15.2   17.0   12.0   -998    1.35    1.42    -998
 YUKO   142     0     26   18.2    1.3    1.2   171   19.4    0.3    2.1    0.00   974.69   149   18.4    0.9   12.8   19.4   12.9   12.5   11.2    1.58    1.54    1.39
